 479: 0.653426, 0.566042 avg loss, 0.000053 rate, 2.402202 seconds, 30656 images
 480: 0.491127, 0.558551 avg loss, 0.000053 rate, 2.416205 seconds, 30720 images
 481: 0.548942, 0.557590 avg loss, 0.000054 rate, 2.137905 seconds, 30784 images
 482: 0.520532, 0.553884 avg loss, 0.000054 rate, 2.123729 seconds, 30848 images
 483: 0.488385, 0.547334 avg loss, 0.000054 rate, 2.149064 seconds, 30912 images
 484: 0.501148, 0.542716 avg loss, 0.000055 rate, 2.165638 seconds, 30976 images
 485: 0.675630, 0.556007 avg loss, 0.000055 rate, 2.209073 seconds, 31040 images
 486: 0.485011, 0.548907 avg loss, 0.000056 rate, 2.169238 seconds, 31104 images
 487: 0.553922, 0.549409 avg loss, 0.000056 rate, 2.125116 seconds, 31168 images
 488: 0.445641, 0.539032 avg loss, 0.000057 rate, 2.146070 seconds, 31232 images
 489: 0.505087, 0.535638 avg loss, 0.000057 rate, 2.144705 seconds, 31296 images
 490: 0.543305, 0.536404 avg loss, 0.000058 rate, 2.131934 seconds, 31360 images
 491: 0.559310, 0.538695 avg loss, 0.000058 rate, 2.008583 seconds, 31424 images
 492: 0.580935, 0.542919 avg loss, 0.000059 rate, 1.988808 seconds, 31488 images
 493: 0.657953, 0.554422 avg loss, 0.000059 rate, 1.999129 seconds, 31552 images
 494: 0.739098, 0.572890 avg loss, 0.000060 rate, 2.030556 seconds, 31616 images
 495: 0.630345, 0.578635 avg loss, 0.000060 rate, 1.985204 seconds, 31680 images
 496: 0.448013, 0.565573 avg loss, 0.000061 rate, 1.995388 seconds, 31744 images
 497: 0.560686, 0.565084 avg loss, 0.000061 rate, 2.067558 seconds, 31808 images
 498: 0.466439, 0.555220 avg loss, 0.000062 rate, 2.087643 seconds, 31872 images
 499: 0.611612, 0.560859 avg loss, 0.000062 rate, 2.050342 seconds, 31936 images
 500: 0.738893, 0.578663 avg loss, 0.000063 rate, 1.974021 seconds, 32000 images
 501: 0.562141, 0.577010 avg loss, 0.000063 rate, 1.328890 seconds, 32064 images
 502: 0.703191, 0.589628 avg loss, 0.000064 rate, 1.346246 seconds, 32128 images
 503: 0.446727, 0.575338 avg loss, 0.000064 rate, 1.353360 seconds, 32192 images
 504: 0.575283, 0.575333 avg loss, 0.000065 rate, 1.327139 seconds, 32256 images
 505: 0.721119, 0.589911 avg loss, 0.000065 rate, 1.339448 seconds, 32320 images
 506: 0.562090, 0.587129 avg loss, 0.000066 rate, 1.349828 seconds, 32384 images
 507: 0.711894, 0.599606 avg loss, 0.000066 rate, 1.345712 seconds, 32448 images
 508: 0.577740, 0.597419 avg loss, 0.000067 rate, 1.327406 seconds, 32512 images
 509: 0.465569, 0.584234 avg loss, 0.000067 rate, 1.345848 seconds, 32576 images
 510: 0.455698, 0.571380 avg loss, 0.000068 rate, 1.335256 seconds, 32640 images
 511: 0.509583, 0.565201 avg loss, 0.000068 rate, 2.085233 seconds, 32704 images
 512: 0.374189, 0.546100 avg loss, 0.000069 rate, 2.086339 seconds, 32768 images
